path,canonicalPath,wpId,wpType,wpStatus,template,authoritativeField,scopeRoles,sources,archetype,targetOwner,disposition,dependencyCount
/clients/alpiq/,/clients/alpiq/,8566,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1898.acf.sections_new[8].components[2].category.specific[1]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/australian-energy-market-operator-aemo/,/clients/australian-energy-market-operator-aemo/,8606,clients,publish,unknown,all-acf-fields,component-listing,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/balkan-gas-hub/,/clients/balkan-gas-hub/,8607,clients,publish,unknown,all-acf-fields,component-listing,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/beacon/,/clients/beacon/,7818,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[4].columns[1].components[0].category.specific[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/bgc/,/clients/bgc/,8764,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1898.acf.sections_new[8].components[2].category.specific[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/bizmatica/,/clients/bizmatica/,7827,clients,publish,unknown,all-acf-fields,component-listing,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/borntech-crosscheck/,/clients/borntech-crosscheck/,10687,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0].category.specific[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,0
/clients/brady-technologies/,/clients/brady-technologies/,7819,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[4].columns[1].components[0].category.specific[1]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/braemer/,/clients/braemer/,8765,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1898.acf.sections_new[8].components[2].category.specific[3]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/broadpeak/,/clients/broadpeak/,10644,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.10490.acf.sections_new[9].components[2].category.specific[1]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,0
